,Destination_Port,Flow_Duration,Total_Fwd_Packets,Total_Backward_Packets,Total_Length_of_Fwd_Packets,Total_Length_of_Bwd_Packets,Fwd_Packet_Length_Max,Fwd_Packet_Length_Min,Fwd_Packet_Length_Mean,Fwd_Packet_Length_Std,Bwd_Packet_Length_Max,Bwd_Packet_Length_Min,Bwd_Packet_Length_Mean,Bwd_Packet_Length_Std,Flow_Bytes_s,Flow_Packets_s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Total,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Total,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Length,Bwd_Header_Length,Fwd_Packets_s,Bwd_Packets_s,Min_Packet_Length,Max_Packet_Length,Packet_Length_Mean,Packet_Length_Std,Packet_Length_Variance,FIN_Flag_Count,SYN_Flag_Count,RST_Flag_Count,PSH_Flag_Count,ACK_Flag_Count,URG_Flag_Count,CWE_Flag_Count,ECE_Flag_Count,Down_Up_Ratio,Average_Packet_Size,Avg_Fwd_Segment_Size,Avg_Bwd_Segment_Size,Fwd_Header_Length.1,Fwd_Avg_Bytes_Bulk,Fwd_Avg_Packets_Bulk,Fwd_Avg_Bulk_Rate,Bwd_Avg_Bytes_Bulk,Bwd_Avg_Packets_Bulk,Bwd_Avg_Bulk_Rate,Subflow_Fwd_Packets,Subflow_Fwd_Bytes,Subflow_Bwd_Packets,Subflow_Bwd_Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min
Destination_Port,1.0,-0.1504410447353573,-0.004846748546880256,-0.004473924162309074,0.018773570902687445,-0.003544100505569203,0.1063929747339151,-0.046268174195453676,0.1493173488432931,0.1365121996131007,-0.19127648929182814,-0.2494842309787237,-0.2155269407894481,-0.17131424225185246,0.06582559714745805,0.23758902994285888,-0.09871629982649406,-0.11492146090293189,-0.11333089592662031,-0.022918587305806048,-0.15012232205138804,-0.09540799939002059,-0.09516075111000172,-0.11248012995210592,-0.05139236878079867,-0.10383415941437675,-0.06713511432893662,-0.03136556548446108,-0.04977464190096922,-0.050435170450758446,0.22110401246318098,,0.001376855242750213,,0.0010829218320910084,0.0010146857951110486,0.2237481786724233,0.13082252564297558,-0.24187592416442658,-0.1214793050566827,-0.14526699879962215,-0.11770349331411073,-0.06481112071679158,-0.037794734670111005,0.22110401246318098,-0.006901002598700664,-0.18110728812074933,0.5291838659204745,0.5062314165284525,0.001376855242750213,-0.006901002598700664,0.04035732518820537,-0.1466326083815211,0.1493173488432931,-0.2155269407894481,0.0010829218320910084,,,,,,,-0.004846748546880256,0.018773570902687445,-0.004473924162309074,-0.0035429787685790273,-0.11399749256140228,0.20858246955029608,-0.0035366904889981487,0.0013726555178283355,-0.04004001815723136,-0.04272614701044374,-0.054206569495221166,-0.026902999459125405,-0.11158988000066647,0.014968964428127852,-0.10669753195744949,-0.1141989872996183
Flow_Duration,-0.1504410447353573,1.0,0.021181448586052413,0.019501838932819857,0.09154904698127424,0.015859859257239036,0.2782235679664975,-0.10550147138807875,0.14631093852889454,0.23873410412694257,0.4964003619946584,-0.21928948222780126,0.4618755811498594,0.44519194742558393,-0.025708388785931627,-0.12213372701110616,0.5264739181134502,0.7400668828828568,0.7840636295046142,0.07097947948395428,0.9986602355164542,0.5499039029186259,0.7256125349853407,0.78376469055436,0.21461467298417108,0.8246563390762786,0.4177616544108196,0.524804923766795,0.5872061158344034,0.21596812688532244,-0.00886543546246636,,-0.003678515219659522,,-0.0053920643484943465,-0.005104126219738341,-0.11322536275462361,-0.07777377879470813,-0.22532641072210544,0.5136722395193719,0.4328094001492955,0.45945839883605194,0.28371326906178,0.19260477768896225,-0.00886543546246636,0.0099921689674914,0.16061181212266554,0.028310094272347736,-0.10029180367187762,-0.003678515219659522,0.0099921689674914,-0.15172440633387202,0.41109901103217994,0.14631093852889454,0.4618755811498594,-0.0053920643484943465,,,,,,,0.021181448586052413,0.09154904698127424,0.019501838932819857,0.015852849418234418,0.0975164167708376,-0.021805688848172272,0.01692545791370101,-0.0066068001959764455,0.19897158440552049,0.23515510483312882,0.2998250891285189,0.12522782642117491,0.7666080707243274,0.2422435192079087,0.7781883429251845,0.737099307392762
Total_Fwd_Packets,-0.004846748546880256,0.021181448586052413,1.0,0.9997961296747984,0.3410886564761421,0.9985491719631834,0.007441400829436007,-0.0034911035062901866,2.2605103257900492e-05,0.0015224892739360246,0.02550886868351826,-0.006795564898912438,0.024139133489719047,0.007347305399189297,0.00040398967388679543,-0.00301151220999077,-0.0012021433285108122,-0.0006259750647578684,0.0038492684036270245,-0.0006463207306657909,0.019893533412385048,-0.0012212325488575935,2.2155993880103496e-05,0.0021109966033568714,-0.001340747812570093,0.02441527185200961,-0.0007432796778182997,0.0007673680426463564,0.0056981852530885065,-0.0011450630125281482,-0.001460345837080409,,-9.437268163229734e-05,,0.05187488970483967,0.06778970328549254,-0.0027935695492994897,-0.0019100589521172072,-0.007190793930208472,0.024700536664780073,0.0279230104919355,0.013632678519295026,0.0058025743629366265,-0.001583974602874479,-0.001460345837080409,-4.134521786417712e-08,0.013684533017477527,-0.004635749272194159,-0.003998704830751845,-9.437268163229734e-05,-4.134521786417712e-08,0.0013177689756946119,0.025247708048009517,2.2605103257900492e-05,0.024139133489719047,0.05187488970483967,,,,,,,1.0,0.3410886564761421,0.9997961296747984,0.9985261035585637,0.005358451684205431,-0.0005363234054009026,0.7750156893320883,1.8106442478166145e-06,0.04839957553443844,0.0071731541316272735,0.034265879587964725,0.05207263543834204,0.0032749886561308224,0.0007552153702943427,0.0033269444503135335,0.0031478135330620786
Total_Backward_Packets,-0.004473924162309074,0.019501838932819857,0.9997961296747984,1.0,0.3342028240196464,0.9989752218601144,0.00710772468652703,-0.002982848890991097,-0.0004578570295259863,0.001023746105919232,0.025335401599490028,-0.0059067540902161125,0.024192251369723857,0.0069718029794873584,0.0003155521255442413,-0.003120214593923,-0.001604536664251561,-0.0012141364900096604,0.00327186192550535,-0.0006723417334429453,0.018158718565162445,-0.0014530283882029287,-0.0006347689945563293,0.0014722599881894385,-0.0011910718775987848,0.023359108745955176,-0.0009553177136733506,0.0004777012966931996,0.0057407278578300415,-0.0011039458860227906,-0.0017715174535814886,,-9.87516687457208e-05,,0.05186037894648637,0.06781128922912921,-0.002965733294869025,-0.0015360383961709973,-0.006446135181535944,0.02444090212652545,0.028258009143489828,0.013410704812111988,0.005831881589345516,-0.0014525910313887647,-0.0017715174535814886,-2.6460360367328884e-05,0.013040472563349842,-0.004909382692423205,-0.003239482522883177,-9.87516687457208e-05,-2.6460360367328884e-05,0.004159562566339415,0.025602033280704616,-0.0004578570295259863,0.024192251369723857,0.05186037894648637,,,,,,,0.9997961296747984,0.3342028240196464,1.0,0.9989516041405955,0.004703103800398043,-0.0005069631480337756,0.7685531485324444,5.5962739812853676e-06,0.04814965697087895,0.005418166293084114,0.032803583365482766,0.05293401861883494,0.002782850278224509,0.0005159930064836543,0.002809968910981287,0.002704805464663285
Total_Length_of_Fwd_Packets,0.018773570902687445,0.09154904698127424,0.3410886564761421,0.3342028240196464,1.0,0.3129470996790491,0.26005024275293454,-0.0016742107961282562,0.2505632602818244,0.2134469302953083,0.02686219610153693,-0.03551298194053204,0.022698396831876896,0.0123503439695584,0.004258987388096228,-0.01867196726757711,0.00566738829876069,0.020415957164152693,0.034886593241929234,-0.0040011429040212295,0.09069728242675602,0.008151622083017706,0.031750455688593165,0.0353705550320512,-0.0075531446586520725,0.10868953221562855,0.011085448800033393,0.04893030626255625,0.054223361605333774,-0.0059304110490740435,0.008440572434536296,,-0.0006315138771142658,,0.01789051101200726,0.02274280782753683,-0.01718626680208281,-0.012663273804097163,-0.03470467504015897,0.09655408243476953,0.11084469333150633,0.07646576173776203,0.04263372783533262,-0.008662241507942543,0.008440572434536296,0.004073391216353691,0.054962114623129714,-0.0032311167614313767,-0.00498098659140308,-0.0006315138771142658,0.004073391216353691,-0.017032939241274792,0.1040342424607029,0.2505632602818244,0.022698396831876896,0.01789051101200726,,,,,,,0.3410886564761422,1.0,0.3342028240196464,0.31288801709710584,0.04067502366716747,0.016726531701157774,0.43816371066793514,5.0546864105362236e-05,0.11011510293472693,0.10051905048963668,0.13116161358488135,0.07535779182030176,0.02948813462856257,0.03635930608381228,0.03386070946415051,0.024071237212207545
Total_Length_of_Bwd_Packets,-0.003544100505569203,0.015859859257239036,0.9985491719631834,0.9989752218601144,0.3129470996790491,1.0,0.004434904946822678,-0.002548581772735362,-0.0017218272334042254,-0.0006138133521988029,0.024567860743920467,-0.0048637816621101195,0.02312680119357334,0.006737533565141633,0.0005172081673458478,-0.002206144929261381,-0.0015846102690190659,-0.0013617315129817965,0.002466091990476633,-0.00047064523592139007,0.01464644220499698,-0.0015022164539928687,-0.0008761196897186666,0.0007971872229395388,-0.000980412829489452,0.018821217436083677,-0.0013092121779622954,-0.000537491854745448,0.004002139429389274,-0.0009540195857451529,-0.001575312587663129,,-6.875661722970744e-05,,0.05178965749802051,0.06775664976814062,-0.0020830584887731427,-0.0011723643979308384,-0.0052513998970058024,0.023384392275844677,0.02649895903554863,0.012587198953917194,0.006148342702409155,-0.0010061041089528388,-0.001575312587663129,-9.459663406892375e-05,0.010150554936490001,-0.0035272799107648185,-0.0026613768174859873,-6.875661722970744e-05,-9.459663406892375e-05,0.0036766722288160423,0.024086133299317386,-0.0017218272334042254,0.02312680119357334,0.05178965749802051,,,,,,,0.9985491719631834,0.3129470996790491,0.9989752218601144,0.9999997237549073,0.002556626173479212,-0.0006927362781419975,0.7463279463677038,2.5164514104008545e-05,0.04277544219218449,0.002902054631302351,0.027782346809220988,0.04789488359115119,0.002058945517746583,4.002566631042781e-05,0.0020240913637224757,0.0020669567920790772
Fwd_Packet_Length_Max,0.1063929747339151,0.2782235679664975,0.007441400829436007,0.00710772468652703,0.26005024275293454,0.004434904946822678,1.0,0.0061043786264805815,0.8910445525655913,0.9697515287724329,0.09934976976237626,-0.13152592084471518,0.08153554013050363,0.08010571237842465,0.042393721305595766,-0.06795213472998679,0.0710803849084947,0.16358591582149135,0.20743943044151442,-0.015027581045376676,0.274435650712859,0.08920351440519993,0.23156484852919168,0.21189685847892722,-0.026339048172343515,0.3042600455654093,0.07215131763625239,0.275910468434123,0.2652705394468923,-0.024654336841907803,0.01255945810411651,,-0.002451491676370098,,0.0011544035294551924,0.001267109107997919,-0.062212854753673455,-0.048150572196243094,-0.13381887172747822,0.3846180919089946,0.34609357300200994,0.35150458519313593,0.25420152941989727,-0.007078337773315632,0.01255945810411651,0.02238420496911959,0.20457004443946347,-0.02368404319273874,0.03004205956442349,-0.002451491676370098,0.02238420496911959,-0.04295017578472135,0.3378130902593292,0.8910445525655913,0.08153554013050363,0.0011544035294551924,,,,,,,0.007441400829436008,0.26005024275293454,0.007107724686527031,0.004430565202177458,0.15304374239849816,0.01807150660515856,0.005484995592433479,0.0007087407919765688,0.1391530087873385,0.09167799348838306,0.1523820051652717,0.12109602434666676,0.18595274439704954,0.19497784909748617,0.20639705256542168,0.15964274853911287
Fwd_Packet_Length_Min,-0.046268174195453676,-0.10550147138807875,-0.0034911035062901866,-0.002982848890991097,-0.0016742107961282562,-0.002548581772735362,0.0061043786264805815,1.0,0.25677283979289617,-0.07257425474818385,-0.12282359317033208,0.29599611583573365,-0.1032184310657543,-0.12430400489704285,0.03121200188239994,-0.05766616530982452,-0.01639554246261141,-0.05140262719541522,-0.07541198239705924,0.0026254695933427574,-0.1099776619826429,-0.010329731505516302,-0.09885510645502735,-0.08291269560616661,0.04156208736798917,-0.07364057072695408,0.016297065214229814,-0.048052822570650244,-0.0308567560658619,0.03904666533733104,0.09658743491047428,,-0.0026290853789288763,,-0.0017840606044977607,-0.0018087626253703482,-0.05667922946313329,-0.01690899169670156,0.4336678918699947,-0.10367506756793944,-0.04095096206151102,-0.09099567240719217,-0.08141736499440402,-0.053215755315215885,0.09658743491047428,-0.005163937637501132,-0.2024254236458671,-0.10887152465012946,0.015491249360275646,-0.0026290853789288763,-0.005163937637501132,0.29809609017696936,-0.02248320035800545,0.25677283979289617,-0.1032184310657543,-0.0017840606044977607,,,,,,,-0.0034911035062901857,-0.0016742107961282549,-0.002982848890991096,-0.0025477742267985292,-0.1457606790130541,-0.06718923005573221,-0.0023083969190765027,-0.0015795931852743985,-0.03632000029142699,-0.030058940656890118,-0.04343283991452824,-0.028436806759340676,-0.07120098095154749,-0.029919930982897993,-0.07332634665511105,-0.06734448088164771
Fwd_Packet_Length_Mean,0.1493173488432931,0.14631093852889454,2.2605103257900492e-05,-0.0004578570295259863,0.2505632602818244,-0.0017218272334042254,0.8910445525655913,0.25677283979289617,1.0,0.8945855344820517,0.010557625911575079,-0.02842499506126214,0.0015852816014289715,0.0066783330381645824,0.1014182592668581,-0.05722976699489086,0.05270143398624939,0.12433613176012741,0.1531562964320916,-0.011332092900205195,0.14262227668110805,0.07248259923134386,0.17413396944230236,0.15656544634963127,-0.00824744250651756,0.17914372327838657,0.0685891858549529,0.23952395700749568,0.2310734381839185,-0.005721937244353072,0.07037714743815915,,-0.002617705498335827,,0.00018455719088979859,0.00015364991869352165,-0.05208661724044519,-0.04251908727869192,0.003167506848727426,0.29186808282996485,0.311926330062762,0.2852667977432664,0.21063174992202424,-0.019296974722309176,0.07037714743815915,0.014296518866831634,0.07322391205658038,-0.005755674009652784,0.05659472354475986,-0.002617705498335827,0.014296518866831634,0.040106082515886834,0.31453565752621576,1.0,0.0015852816014289715,0.00018455719088979859,,,,,,,2.260510325790072e-05,0.2505632602818244,-0.00045785702952598646,-0.0017213436582494313,0.04103922449403051,-0.013477765578290581,0.0010085973774250708,0.00017066178478343386,0.09312016441829654,0.060364532849752496,0.09478603736042202,0.07786746390828451,0.13029815944637704,0.19327647828277214,0.15250143701311794,0.10463441215826733
Fwd_Packet_Length_Std,0.1365121996131007,0.23873410412694257,0.0015224892739360246,0.001023746105919232,0.2134469302953083,-0.0006138133521988029,0.9697515287724329,-0.07257425474818385,0.8945855344820517,1.0,0.09002692392577995,-0.14402432108331384,0.0722760230759006,0.08114868750401988,0.08298507630995677,-0.049541243441059216,0.073388807529489,0.1698636844324521,0.21064303157381548,-0.014130545545052695,0.2356962954474977,0.09347127674196319,0.24387683687899422,0.2163572737646253,-0.025786138706669043,0.2549463049849842,0.0695562765485146,0.27888776650742375,0.26253262363746976,-0.024420971474382464,0.023369571300609415,,-0.0020694836987036574,,0.000893724074554133,0.0008918065124435009,-0.04404506728005856,-0.04324099913471898,-0.15732320796720978,0.3781125950658577,0.3378295057179578,0.3595717027841906,0.2773321376320271,0.005682653050541369,0.023369571300609415,0.01829704037396113,0.180647955050309,0.008305530761776585,0.04422277864270851,-0.0020694836987036574,0.01829704037396113,-0.059425000514444486,0.3338381550090173,0.8945855344820517,0.0722760230759006,0.000893724074554133,,,,,,,0.0015224892739360248,0.2134469302953083,0.0010237461059192322,-0.0006137978069006579,0.12768890548155873,0.01594426913822048,0.0017257605252052632,0.000780679184726993,0.11060511173308508,0.07208737304501006,0.11918591082697025,0.09572972645866737,0.18705938692480817,0.20951098850432937,0.20940564395919148,0.1592846899058439
